
Graham Hancock
Peter W. Singer
Yasuko Endo
Soren Sveistrup
Susan Pinner
Dave Pelzer
Ian Fleming
Claire Bessant
Liz Gallacher
Bob Philips
John Julius Norwich
R. A. Burt
Chris Haughton
America's Test Kitchen
Edie Eckman
Alona Pulde
Masaru Emoto
Nick England
Maureen Garth
Richard Miller
Rachel Brathen
Ina May Gaskin
David Grann
Michael E. Gaitley
Jean-Jaques Rousseau
Anthony Di Mari
Mary Jane Mucklestone
Helen Aveyard
Nabeel Qureshi
Steve Martin
Harvard Business Review
Tracey West
Joe Sacco
David Mamet
Jeremy Narby
Stephen M R Covey
Rosie Alyea
Gyles Brandreth
Jim Meehan
Richard Rennie
Kai-Fu Lee
Fyodor Dostoyevsky
Abby Jimenez
Karen Armstrong
Paul O'connell
Cambridge School Classics Project
Armando Iannucci
U-Dox
Kat Kerr
Mark Myers
Mollie Makes
Kent Haruf
Csiro
Brandon John Larouche
Chang David
Pat Lilburn
Lyn D. Sharratt
Jacob Bronowski
Jim Masterson
John Ajvide Lindqvist
Dan Green
Maria Boyle
David R. Beukelman
Tom Michell
David Airey
Terry Crews
Steven Brindle
Fanny Waterman
Allie Gaunt
Linda Collister
Gary V. Bristow
Gillian Gloyer
Plato
Marc Morris
Iris Apfel
Thomas Hill
Roy M. Wallack
Margret Rey
David Griffiths
Neal Ford
Humphrey
Colin Wilson
Richard Templar
Yongey Mingyur Rinpoche
Creative Notebooks
Felicity Brooks
Ella Mills
Jonathan Culler
Rachelle Doorley
Stephen F. Cohen
Robert Leckie
Kingsley Amis
Thomas Nelson
Irvin D. Yalom
Dora Romero
John O'Farrell
Elisabeth Haich
Peter Block
Barry Schwartz
Rudolf Hoess
Luca Dotti
Geoff Price
Stephen Holloway
Cheryle R. Hart
Jessi Bloom
Banno Eri
Jessica Knoll
Irish Countrywomen's Association
Adam Smith
David A. Mitchell
Andy Griffiths
Angela Duckworth
Tui T. Sutherland
Hans Christian Andersen
Oliver W Sacks
Morton Manus
Sarah Kane
Wendy Rowe
Louise Walker
Jean George
Wassily Kandinsky
St.Therese of Lisieux
Georgia Hardstark
Charles Fishman
Darryl Cheng
Najwa Zebian
Chris McCoy
Brian O'Doherty
Dale Carnegie
Brennan Manning
Robin Robertson
Bill Hylton
Ben R. Rich
Robyn Davidson
Geoffrey Robertson
Dr Edith Eva Eger
Dr Sue Johnson
Kevin Horsley
Jim DeFede
Roy Killen
Intercity
Peter Henshaw
Jan Fennell
S Yates
Greg McLatchie
Diane Ackerman
Ulf Poschardt
Periplus Editors
THOMAS PAVITTE
Patrice Newell
Jack Fairweather
Neil Young
Stuart R Kaplan
Pearl Barrett
Juliet Robertson
Justin McCory Martin
Robert L. Wolke
Fiona Watt
Pomegranate
David J. Anderson
Alex Kelly
Olivier Filippi
Gary Mack
Michael Tierra
Lisa Q. Fetterman
Charles Kovacs
Gojko Adzic
Jane Emerson
Francisco J. Migoya
Madeleine Albright
Kevin Hearne
Stella Rimington
Alex Mustard
Ludwig Wittgenstein
Neal Lozano
Vicki Wienand
John E. Sarno
Project Management Institute
Walter Wheat
Charlie Henry
Us Army
Simon Schama
Scholastic
Laura Cumming
Chris Hammer
Jacqueline Butler
David Kadavy
Hugh Johnson
Epictetus
Peter Reinhart
Karen Pryor
Paul Rooyackers
Ella's Kitchen
Michelle Magorian
W. J. Johnson
The Imagineers
Alex Bellos
Mary Cay Ricci
David Deutsch
Angela Ackerman
A. K. Dewdney
Tracey Miller-Zarneke
Roger Lancelyn Green
Natalie Rusk
Peter Morgan
Dietrich Bonhoeffer
Mimi Spencer
Ben Casnocha
Nicole Mallalieu
Cyril M. Harris
Scott Kelly
Gavin Bishop
Isabel Allende
Maggie Dent
Norah Gaughan
Rae Earl
Alphonso Dunn
James Holland
Timothy D. Wilson
Junzo Terada
J. G. Ballard
Lucasfilm Ltd
Will Schwalbe
Viet Thanh Nguyen
Walpola Rahula
Thomas A. Limoncelli
Saint Augustine
Charlotte Abrahams
Beverley Lawson
Flores
Adele Nozedar
Jim Lahey
Mikao Usui
T. E. Lawrence
Omar Khayyam
Tracy Kidder
Brett Manders
Naomi Oreskes
Peter Kim
Prypto
Charles Darwin
AXELOS
Martin Haake
Brough Scott
Dan R. Lynch
Dr. John J. Ratey
World Health Organization(WHO)
Heather McCoy
Tamara Laporte
Sean Dooley
Michael Marks
Nathan Williams
Naomi Alderman
Peter D. Adams
Ben Goldacre
Hillary Rodham Clinton
Michael Pekovich
Louise Howland
Weston Price
David Peter Stroh
David R. Card
Monks of New Skete
Peter Downey
Thomas Gordon
Arthur Ransome
Todd Parr
Piers Warren
Windsor Mann
John Marrs
Sheena Byrom
Harry Eastwood
Kristin Neff
Bruce Eckel
William L. Smallwood
Andrew Loomis
Peter Crouch
Thomas Piketty
Kim Krans
J. Campbell
Jenny Broom
Richard Rumelt
Rana George
Joseph Mercola
Alan Duff
John M. Swales
Jimmy Niro
Kim Goodwin
Stephen M. Johnson
Colour Sergeant Kailash Limbu
Jeff LaMarche
Maria Sharapova
Madeleine L'Engle
Charles Baudelaire
Steve Hockensmith
Christopher Tolkien
Carrie Fisher
Jane McLelland
Brian Cox
Zifflin
Bemelmans
Eileen Dombrowski
Editors of Klutz
Jason Selk
Bobby Hundreds
Chris Ferrie
Potter Style
Oriah Mountain Dreamer
E. Welch
Inc Browntrout Publishers
Nisioisin
Steven Erikson
Dambisa F Moyo
Rick Strassman M D
Marcus Luttrell
Daniel C. Dennett
Susan Coolidge
Shinichi Suzuki
Peter D. Schiff
Stationery Office
Shaun McNiff
Sarah Napthali
Lennard Zinn
Jesse Klausmeier
Mark Mason
Madeleine Shaw
Anne Robinson
Neil Rackham
Elizabeth Lovick
Walter Makichen
HANNAH LAMB
Anne Morrow Lindbergh
Ray Norris
Bec Judd
Harlan Coben
John Baxter
Matt Master
Viz Magazine
Robert Henderson
Barack Obama
Patrick Radden Keefe
Kate Pocrass
Karen Dolby
John B. Arden
David Sopp
Jalal Al-Din Rumi
Benj Pasek
Michael Pillsbury
Anthony Croft
Author and Historian Simon Winchester
Marc Grossman
John Hermann
Kristy Turner
Lawrence Corr
Frank Abagnale
Nofx
Iris Chang
Hannah Jewell
Franz Bardon
Rachel Robertson
Amy C. Edmondson
Richard E. Williams
Pantone Inc.
Ben Falk
Mary Norton
Oxford Dictionaries
Alex Wade
Kat Black
Le Corbusier
Jaime Corpas ViÃ±als
Musa Dagdeviren
Mark Warner
Anna Chittenden
David Jefferson
Teri James Bellis
Michael Carroll
Marabout
William Whitecloud
Owen Chase
Joseph Gilland
Jennifer Van Sijll
Michael Ruhlman
Audrey Grant
Werner Busch
Mark Oliver Everett
Autumn Carpenter
Chris Pellant
LEVISON WOOD
Tristan Stephenson
Margaret Sullivan
Dr Dan Ariely
Hervey Garrett Smith
Charles Capps
Editors of Off Track Planet
Gabriel Mojay
Slash
Dr Steven R Gundry
Guy Adams
Robert H. Horner
Natalie Hughes
Eckhart Tolle
C. T. Onions
Jamie Goode
Dr. Suzanne O'Sullivan
brendan Kane
Nicola Moriarty
Debbie Miller
John Cleese
Paul Pitchford
Michael Coveney
Colleen McCullough
David Darling
Janet Farrar
Julia Harding
Roy Osherove
Charles Saatchi
Interweave Editors
Amanda Brooks
Vickie Smith
Andy Tudor
Nigel Denby
Katie Daynes
Tom Tully
Matt Haig
Will Schmid
Rockridge Press
Leon Uris
Suzen Millodot
Gordon Kerr
Amie Kaufman
Naoki Higashida
Ellen Lupton
Jason Hickel
Nancy Faber
Gordon Neufeld
Marguerite van Geldermalsen
Camille Fournier
Laura Marsh
Lawrence M Krauss
Platt R Spencer
Lisa Gentry
C.  Irene Fountas
George Monbiot
Tom Bisio
Elizabeth Bone
Janet W. Hardy
Jerold J. Kreisman
Johanna Collis
Chyka Keebaugh
Cas Holmes
Hans-Ulrich Rudel
Dan Lepard
Laura Purcell
Stephen Levine
Maureen Little
Liz Soars
Brian Levison
Thorstein Veblen
Norton Juster
Kyle Hedi
Margaret Barrett
S. E. Hinton
Sandra Boynton
Helen Czerski
Emma Gray
Millie Marotta
Liz Dean
Keith Richards
Matteo Cossu
Samuel Beckett
Joel Greenblatt
Natasha Corrett
Donna Kato
Annabel Crabb
Grace Coddington
Jefferson Bethke
Nicola Yoon
Giles Tremlett
Travis Bradberry
Dr. Megan Rossi
Daniel Abraham
Dr. Stuart Farrimond
Ruth Haley Barton
Jason Chongue
Verne Harnish
Mats & Enzo
Wendy Mitchell
Henry Beston
Beau Taplin
Todd Bridigum
Nancy Holyoke
Stephen J. Dubner
Kelly Hoppen
Sylvester McNutt III
Xun Liu
Francois Chollet
Linda Sunshine
Lisa Mora
Peter Ellis
Mikael Krogerus
Linda Curran
r.h. Sin
Dr. Jerome Sarris
Thomas Nagel
Amanda Oakley
Axel Munthe
Bruce Myles
Linda Liukas
Takuan Soho
Leonardo da Vinci
J. Gordon
David Nicholls
Linda Larsen
Francoise Tetart-Vittu
Michael Cox
Naoki Urasawa
University Christopher Clark
Michael Perry
James Barr
Dantar P. Oosterwal
Jeremy J. Siegel
Arthur Newhall
Carl von Clausewitz
Paul Jarvis
Michael Newton
Aw Tozer
Hirokazu Kanazawa
Sam Childers
Christine Liu
E L Lancaster
Nancy Bardacke
Glenn J. Doman
Chris John Tyreman
Scott Aaronson
Ludwig Bemelmans
Lisa Nola
John Harrison
Louise Hayes
Sue Walker
John Thompson
Maja Lunde
Dennis Linn
Ian Morris
Robert Kiyosaki
N.M. Gwynne
David Suchet
Carol Ann Tomlinson
Alice Feeney
Jean Lèturgie
David E. Garland
Anna Mason
SLG  Benedicta Ward
Michel Lauricella
Tariq Ramadan
John Palmer
Amanda Ripley
Sandi Metz
Dalai Lama XIV
Professor Audre Lorde
Darina Allen
Shaun Bythell
R M Clarke
Jane Worroll
John R. Hollingsworth
Dr. Gowri Motha
Kate Quinn
Nathaniel Branden
Dylan Wiliam
Teacher Created Resources
Dorothy Calimeris
Martin Buckley
Lauren Friedman
Brian Moore
Paul Zollo
Yossi Ghinsberg
Edward Bach
Frank M. Ahearn
Editors of Rock Point
Jeffrey Richter
Bill Simmons
Patrick Valenza
David J. Barnes
Luca Turin
Zina O'Leary
Stella Cottrell
Mary A. McDougall
Jim Greasley Horace
Deborah Lipsky
Daniel O'Leary
Aubrey de Grey
Emma Jean Jensen
Nicole Forsgren
Naomi Wolf
Patrick Kingsley
Julie Gabriel
Fred Kaplan
Samuel P. Huntington
Allan Moore
Eva Schloss
Miran Lipovaca
Andy Weir
Matt Fargo
Nick Lane
Richard Garrigues
Emma Parsons
Vahram Muratyan
Claire Heartsong
John Fleming
Ceri Evans
Karen Andreola
Roger Fields
Matt Pritchard
Claire Freedman
Jo Frost
Michael Allen
Patrick Mauries
Florian Huber
Samantha King
Ted Hooper
Carla Valentine
Colin Lewis
Judith Halberstam
Miriam Nelson
"Banksy"
Brian Azzarello
Zoe Foster Blake
Oliver Gassmann
David Olsen
Sei Shonagon
Martha Davis
E. Nesbit
Aung San Suu Kyi
John Bishop
ABRSM
Richard Heygate
Daniel Amen
Catherynne M Valente
Clare Balding
Dennis Jenkins
Alberto Oliva
Jennifer L. Scott
Nick Townsend
Manul Laphroaig
J.C. Gardner
Patrick Süskind
John Douglas
Mari Fujimoto
Jedidiah Jenkins
Pat Ogden
Martin McDonagh
Jane Patrick
Jack Welch
John Crowley
Jonathan Cahn
Michel Roux
Andy Puddicombe
David Brooks
Donald De Carle
David Mazzucchelli
Stephanie Fritz
Piers Paul Read
Stephanie Alexander
Fuchsia Dunlop
The Culinary Institute of America (CIA)
Stephen Pile
James Napoli
Manus Morton
Jess Hill
Robert Moore
Lois P. Frankel
Margaret Morgan
Leandra Medine
Simone de Beauvoir
Jera Brandvig
Dr. Sue Johnson
Candace Crockett
Jonathan Bergmann
Lucy H. Pearce
Sam Burchers
George Lois
Rosalind Wiseman
Tahir Shah
Geoff Emerick
Sloane Crosley
Joseph Conrad
David Carey
Lauren Ulm
Jillian Tamaki
Lesley Bolton
Sarah Silverman
Anne Wilson Schaef
Fiona Cobb
Brian Thorne
Mike Brearley
Norbert Wiener
Wim Hof
Susan Forward
Dennic Chunman Lo
Ernest Shackleton
Andrew Lownie
William A. Barry
Jacob Kenedy
Geri Scazzero
Daniel Shapiro
Phillip C McGraw
Alain de Botton
Ari Seth Cohen
Sally E. Shaywitz
Dan Blank
Bessel van der Kolk
Bryn Thomas
Roger Ma
Homi K. Bhabha
Hannah Dolan
Elizabeth Jane Howard
Lizzy Lansberry
Kim Walsh-phillips
Meredith Russo
Britt Karlsson
John Stamper
Marc Levinson
Nancy Nicholson
Ricky Tims
Ralph Moody
Carey Gillam
Sue Jenkyn Jones
Debbie Shore
Jonathan Kellerman
Joanna Martine Woolfolk
John Baechtel
Joanna R. Macy
Fred Benenson
Michael Powell
Alan Weisman
J D Robb
Drew Neil
Why Don't We
Naomi Thompson
Amber Creswell Bell
Corey Taylor
Bruce Fife
Vaughn Vernon
C. L. Hanon
Elizabeth Verdick
Ian White
Irene Pepperberg
Tite Kubo
Sherry Parrish
Richard Overy
Jaime Corpas
Giorgia Lupi
David Fasulo
Anthony Doerr
Qais Akbar Omar
Matthew D Lieberman
Joyce Rupp
Philip Shawcross
Bryce Holdaway
Annette Capel
Insun Lee
Mark Bowden
Dr Qing Li
Thomas H. Cormen
Sherri Haab
Lea Redmond
Toshio Odate
Timothy Keller
Al Sweigart
Kristine Miles
Charles Mackay
Shona Vertue
Peter Benson
Shaquille O'Neal
Justin Halpern
Hinali
Israel Finkelstein
Tuttle Publishing
Edy Garcia Schaffer
Joanna Cole
Rebecca Gowers
Talia Levy
Doug Gold
Steven Levy
Shakti Gawain
Neale Donald Walsch
Syd Field
Dr Aaron Horschig
Gerald Durrell
Nicholas Shaxson
Dbg
Rob Temple
Rex Gibson
Duncan Garwood
Andrew Faulkner
Adam Nicolson
James W. Pennebaker
Bruce Kumar Frantzis
Geoff Wilson
Barbara Minto
Richard Moore
Henry T. Brown
Carol Schiller
Michael Shermer
Ruth Symons
Celia Brooks
John Greene
Luke Pearson
Pamela Reid
Mugumogu
Nicholas Mirzoeff
Charles M. Sevilla
William J. O'Neil
Alexander Osterwalder
Keith McCormick
Bob Mortimer
Shirley Hughes
Virginia Woolf
Charlie Chaplin
Alan Ahlstrand
ARCHER JEFFREY
Kelly Alexander
Erik Brynjolfsson
Michael Harner
Bruce D. Perry
The School of Life
Louise Burke
Bill Gammage
Lily Chou
Mark Smith
Alan Woollett
Richard Finch
Troy Nelson
Robert T. Kiyosaki
The Try Guys
Sophia Yin
Fleming & McCort Mart Chanko
Fiona Horne
Paul Gibson
John Brooks
Pat Zietlow Miller
Christopher Gorse
Howard G. G. Hendricks
Heiner Schenke
Nancy Bush
Dian Fossey
Horace Walpole
R.V. Jones
Ben Fogle
Rita Berman
Lee Ann Garrett
Laura Waters
Rosie Swale-Pope
L. J. Smith
Linda Dannenberg
Bo Burnham
Fantasy Flight Games
Slinkachu
Larry Bird
Taisuke Ooshima
Liane Moriarty
Timothy B. McCall
Jessica Joelle Alexander
David Vandevoorde
Patricia Goroway
New Scientist
Cicero
Jamie Bartlett
Cyril Peupion
Raymond Murphy
Victoria Aspinall
Erich von Däniken
Bob Dylan
Ali McNamara
Nick Vujicic
Kathryn White
Christopher Young
Roxane Gay
Jeremy Dronfield
Dodds
Langenscheidt
Look at This Book
Skyy
Karl Fulves
Harry Thompson
Kevin Leman
Scott Cunningham
Richard Leonard
Richie McCaw
Paul E. Kennedy
John E. Hall
Michael Spivak
Dave DeWitt
Ministry of Top Gear
Jinks McGrath
Joudie Kalla
Bernard Grun
New Holland Publishers
Adam Nergal Darski
Laurie Frankel
Ladies' Homemaker Monthly
Lynne Chapman
Brenda Aloff
Nicole Lara
Sakyong Mipham Rinpoche
Jim Loehr
Nicholas Whittaker
Andrew C. Page
Larissa Ione
Andrea Beaty
Kat Von D.
Mike Alfreds
Richard Porter
Al Ries
Michael Carr-Gregg
Philly McMahon
Rob Tanner
Matthew Polly
Michael Feathers
Ben Lynch
Giovanna Fletcher
Stanley I. Greenspan
Hal Leonard Publishing Corporation
Daniel Goleman
Emma Chapman
Jim Bond
Thomas C. Hayes
Nicky Epstein
Professor Arthur Edward Waite
Steve Swink
Gordon D. Fee
Ian Falloon
Philippa Rice
Matthew Burgess
Richard N. Mitchell
Dan Williamson
Josiah Brooks
Naomi Yandell
James Rickards
Kristina Halvorson
Sarah Buckley
Klaus Walter Littger
Beata Zatorska
Kate Legge
Eugene H. Peterson
Yuki Tabata
Bryon Powell
Dr. Victoria Clarke
David Levithan
Beccy Hands
Lisa Feldman Barrett
James Longworth
Bryan Mathis
George Samuel Clason
Tarek Malouf
Tara Delaney
Thomas Keneally
Dolores Cannon
Jeffrey Young
David Semple
Laura Ingalls Wilder
Miroslav Sasek
David Fung
Hugh Marriott
Elaine N. Aron
Gene Edwards
Mel Robbins
Kaz Cooke
Dom Mazzetti
Dave Ramsey
Deborah Rodriguez
Gmc Editors
Abby Wambach
Olesya Turkina
Patricia Evans
Kyoto Costume Institute
Jasper Ridley
Ip Chun
Garry L. Landreth
Cal Newport
Paul Edwards
Joseph Sugarman
Bret Easton Ellis
Todd Burpo
Eriy
Gloria Steinem
Jenson Button
Leonard Cohen
Mick Burke
Sinclair Mckay
Benjamin Dreyer
La Leche League International
Sarah Woods
Glen O. Gabbard
Junji Ito
Molly Idle
George Daniels
Sue Perkins
Joseph Grenny
H. P. Lovecraft
Summer Rayne Oakes
Andrew Knapp
Dr David Whyte
Moby
Alex Hutchinson
Cathy Humphreys
Forbes
Jean Draper
Chelsea Monroe-cassel
Margery Williams
William Blake
Zack Scott
Bill Walsh
Mike Bender
Arabella Carter-Johnson
Matthew Reilly
Brian Solomon
John Dean
Allen
Adler
Kimberly Snyder
Mark C. Layton
Brian Posehn
Blindboy Boatclub
Alexander T. Shulgin
Titan Books
Ryosuke Takeuchi
Barbara Ann Brennan
Peter Wohlleben
Mignon Fogarty
Joy Deangdeelert Cho
Ella Risbridger
Jon Gabriel
Jason Aaron
Brooke McAlary
Michael Lombardi
Sui Ishida
David Gibson
Hesiod
Andrew Lea
J.G. Caiger
Ann Cox
Scott Hahn
Keisuke Saka
Vincente Palacios
Jennifer Lewis
Joe Navarro
W. Bruce Cameron
Constance Starr
David Griffith
Tupac Shakur
Andy McNab
Ray Daniels
David Gillespie
My Food Bag
Walt Stanchfield
Tommy Orange
Jim McGuinness
Kate Holden
Nick Roberts
Albert Espinosa
Kathryn Bonella
Mandy O'Sullivan
Diana Wynne Jones
Grant Schofield
Kate Clow
Gaston Bachelard
Eric Enge
Jen Fisch
Tasty
Harvey Penick
Neil Fiore
Meredith Gaston
Charles G. Davis
William E. Blundell
Theodore Zeldin
Julie Moore
Crossway Bibles
Ianto Evans
Charles Perrow
Tim Moore
Ha-Joon Chang
Alex Ferguson
Chad Mureta
Sarah Powers
Friedrich Wilhelm Nietzsche
Lois Van Baarle
Jill Mansell
Robert Brooks
Michael Williams
S Peter Dance
Iain Campbell
David Jagneaux
Michael S. Schneider
Mikhail Bulgakov
Sheila Wray Gregoire
Mark Colvin
T. Harv Eker
Casey   Makela
Linda Sue Park
Richard Koch
Geoffrey Budworth
Glen McCabe
Orlando Figes
Yee-lum Mak
Lao Tze
Ray Wilson
Dr Claire Weekes
Mark Geddes
Leslie Ann Bestor
Eleanor Coerr
Bill Johnson
Robert M Drake
P R Spencer
Elizabeth Martin
Mark Carwardine
Paul Farrand
Betty R. Kirkwood
Colin McIntosh
Matthew Thie
Cathy Glass
Tanya Duke-Novakovski
Ken Grimwood
Esther Gokhale
Willard A Palmer
Fredrike Bannink
PhD Jim Stoppani
Bente Elsworth
Josip Harcet
Lucy Rosen
Richard Bayan
Alistair Wood
Susan Kaiser Greenland
Adam Hochschild
Chad Orzel
David T. Smith
James S. A. Corey
Charles Liedl
Michael Grose
Thomas Sowell
Arthur Baker
Scott Kelby
Dean Karnazes
Great Britain: Department for Transport
Perkins
Alex Quigley
Susan Jeffers
Hal Leonard
Maria Augusta Trapp
Jim Harter
Sarah Pinborough
Alexander Roob
Jill Norman
Peter Thiel
Robert G. Hagstrom
Ingri D'Aulaire
Francis Brennan
Jon Richardson
John Webster
Robert A. Caro
Nadia Comaneci
Jonathan Glancey
Frank Ostaseski
Jane Mount
Julie Carlson
David Beaty
Carol Collier Kuhlthau
Julia Quinn
Monday Morning Cooking Club
Teresa Garland
Glennon Doyle Melton
Sir John Keegan
Kelsey Hightower
Albert Uderzo
Alexandra Fuller
Bronwen Bryant
Volkswagen of America
Jesse Itzler
Athol Fugard
Lee Lefever
Brian W. Kernighan
Donald J Trump
T. F. Hoad
Brian Lopes
Peter V. Brett
J. A. Baker
Nan Shepherd
Peter Heller
Rich E. Dreben
Jennifer A. Ericsson
Gilbert Shelton
Charles Harrington Elster
Tom Holland
Margaret Wise Brown
Raina Telgemeier
Allan Bloom
James Van Praagh
Judy Melinek
John Lanchester
Richard Dawkins
Murray Chandler
Carl-Johan Forssen Ehrlin
Eri Banno
D. Gettman
Randall Faber
Kelsey Miller
Bodleian Library the
Robert Descharnes
Jillian Madison
John 'Lofty' Wiseman
Stephanie Tourles
Dorian Lynskey
Kate DiCamillo
Omar Santos
Lesley Pearse
Rosemary Sassoon
Victoria Stilwell
Robert M. Sapolsky
David Frenkiel
Gail Damerow
Immanuel Velikovsky
Gwen Cooper
Lucretius
Sam Kean
William Hazlitt
Kim John Payne M.Ed.
Rebecca Weller
Martin Toseland
Steve Keen
Nora T. Gedgaudas
Toby Hemenway
Joshua Fields Millburn
Matthew Lewis
Stuart Brown
Allan Dib
October Jones
Rachel Renee Russell
Dr. Russ Harris
Grant Cardone
Archbishop Desmond Tutu
Platts Roger Spencer
Richard Henry Dana
Tanya Harter Pierce
Beverley Henderson
Bonnie Worth
Tiziano Terzani
Diana Carey
C. S. Pacat
Amanda Jean Nyberg
Angus Stewart
Nick Cummins
Oyinkan Braithwaite
Gill Connell
Matt Parker
Rudyard Kipling
Gayle Laakmann McDowell
Ibn Fadlan
Darcey Bell
Sylvia Langfield
Hartmut Bohnacker
Stuart Ashen
Gilda Nissenberg
Ram Charan
Elena Brower
Hilary Robinson
The Topps Company
Gill Hasson
Cara Hunter
Charlotte Perkins Gilman
Danny Sugerman
Wendy M. Anderson
Darren Purchese
Raymond Clemens
John Ayto
Julie Adair King
Sadhguru
Chelsea Handler
Liz Fosslien
Broadstreet Publishing
Shawn Achor
Frank Honsowetz
Alison Raju
John Rendall
Kathryn Geldard
Rachel Bright
Mark D. Sikes
Grayson Perry
Cindy Wilde
Faubion Bowers
Mark Stille
Nadia Narain
Victoria Moore
Iain M. Banks
Kuki Gallmann
Eric Lomax
Greg Keyes
Janice (Ginny) Redish
Elias Chacour
Peter Bruce
Michelle Robinson
Lise Eliot
Isa Chandra Moskowitz
Flame Tree Studio
Anna Jones
Laurie Aaron Hird
Howard E. Wasdin
Mary E. Coffman Crocker
Seiichi Makino
Alice Hoffman
Ajahn Brahm
Graeme Base
Joshua Foer
John Pitts
Pete Evans
Robert S. Mendelsohn
Marion Dane Bauer
David Felton
Ernst Neufert
Robert Gerwarth
T Marin
PhD Marshall
Judith D. Schwartz
Jane Sowerby
Kenny Werner
New Yorker
Chris Martin
Mark Yarnell
Heather Poole
Haim G. Ginott
Thomas Ittelson
Antonio Carluccio
The Oatmeal
Brigit Esselmont
Hbo
Yana Toboso
Patrice Karst
Chris Burniske
Susan Stiffelman
Gillian Harris
Carol Dweck
Josh Malerman
Mike Doyle
James Paul Gee
Katherine Webb
Ken Blanchard
A. K. Legg
John Haywood
Damo Mitchell
Hermes Trismegistus
Michael Tonsmeire
Hans Bacher
Bruce Hoffman
Nigel Williams
James Gulliver Hancock
Alan Booth
Deborah Hantzig
Katya Tylevich
Raymond Chandler
Amy Einsohn
Anthony Puharich
Tuttle
Toby Meadows
Ted Greene
Bernadette Fisers
Philip G. Zimbardo
Prof Paul Gilbert
Brooke Barker
Dan Hunter
Perry Marshall
Elana Amsterdam
Henk J. Beentje
Greg Green
Shushann Movsessian
Norman Ferguson
Brian Castleforte
Jana Hocken
E.M. Bard
Julius Panero
Julie Brett
Irving Chernev
Lev Grossman
J. D. Salinger
Robert Lawlor
Benjamin Graham
Michio Kaku
Paolo Bacigalupi
Haym Kruglak
Toni Morrison
Elisabeth Gifford
A. A. Milne
Anna Sherman
Simon Kuper
Gabbie Stroud
Kim Brooking-Payne
Safi Bahcall
Therese De Dillmont
DC Comics
Amitav Ghosh
Chris Marshall
CD Red
Betty Mahmoody
Dan Brown
Toni Turner
Roy Chudley
Saroo Brierley
Jack Nicklaus
Dr Richard Shepherd
Bunmi Laditan
Bill Buxton
Christopher Ryan
Christopher Green
Werner Holzwarth
Harriet Goldhor Lerner
Munro Leaf
Ken Kocienda
3dtotal Team
Dan Simmons
Barbara Oakley
Barbara Bassot
Matthew B Crawford
Kobi Yamada
Mary Hanson-Roberts
John O'Toole
Simone Anderson
Scott Berkun
Raymond Feist
Daron Acemoglu
Desmond Morris
Lee McIntyre
Lisa Cestnik
Cheryl Richardson
Daniel Harms
Alan Bullard
Paul Humann
Francesc Zamora
Mel Allwood
Andrew May
Allison Hadfield
Emer Stamp
Claire B. Shaeffer
Greg Natale
Burton G. Malkiel
Future Press
Jeff Gothelf
Tanya Whelan
Angela Nagle
A.G. Lafley
Ali Smith
Charles Duhigg
Neal Shusterman
William Wordsworth
Will Eisner
Joe Simpson
Koy Hing Lim
Lincoln Peirce
E. F. Schumacher
Adrian Lara
David Crocker
T. S. Eliot
Aneko Yusagi
Erik M. Conway
Alfred Lansing
Andy Cope
Julie Pointer Adams
Eric Idle
Richard Rawlings
Richard J. Herrnstein
Ravynne Phelan
Garry Kasparov
Lisa Peschel
Maoshing Ni
Vinay Kumar
Priscilla Presley
Steve House
Michelle Inciarrano
Nick Asbury
Greg Behrendt
Islay Auty
Louis Sachar
Marcia Monroe
Johana Amsilli
Sandro Mancuso
Catherine Alliott
Fuse
Brian Augustyn
Angel Adoree
Mario Salvadori
Mohsin Hamid
Amy Krouse Rosenthal
Margaret Drabble
Sophie Kinsella
Lina Ng
Josephine Tey
Tias Little
MANDY PATTULLO
Brock Craft
Bonnie Hindmarsh
Susan Southam
Julie Starr
Daniel B. Wallace
John McPherson
Kerry Bone
Emily Katz
Randy Mosher
Andrew D. Lambert
Rhena Branch
Leonie Gombrich
Tom Greever
Dover Publications
Cherry Dobson
Dharmachari Nagaraja
Dervla McTiernan
Dermot Bannon
China Mieville
Gary Chapman
Steve Krug
Alex Ross
Barbara Sher
Giorgio Vasari
Daniel Susskind
One
Veronica Peerless
Luc Bourgault
James Barrat
Jeff Hartman
The Velominati
Kelly Starrett
Daniel Stevens
Ryan M. Niemiec
Paul Kalanithi
Pedro Domingos
Andy Dailey
H. Norman Wright
Regula Elizabeth Fiechter
Jean M. Twenge
Jesse Schell
Shoukei Matsumoto
Lynda Madaras
John Hattie
Amber Gryffon
Tami Oldham Ashcraft
Kate Pankhurst
Anita L. Archer
Ben Horowitz
Andrew M. Colman
Margreet Kwakernaak
Kari Dunn Buron
Oliver MacLennan
Rick Smith
Diane E. Muldrow
Stormie Omartian
Gary Gutting
Greg Farshtey
Victor L. Wooten
Victoria Hislop
Jeffrey Morgenthaler
Eline Snel
Yehuda Avner
John Burnside
E.P.F. Lynch
Mike Bishop
Carol Ekarius
Eduardo Kohn
Felipe Fernandez-Armesto
Frederic Laloux
Alexander Mackendrick
Jane Foulston
Niall Mac Coitir
Lindsey Kelk
Nora Ephron
Jane Bennett
Blank Books Journals
Ilona Andrews
Bruce LaFontaine
Trevor Bounford
Peter Jefferson
Richard Tarnas
Kirstie Allsopp
Cheri J. Meiners
Genevieve Helsby
