name,author,isbn,category
The Art Of Dragon Age: Inquisition,Bioware,9781616551865,Computing
Hello World,Hannah Fry,9781784163068,Computing
The Information,James Gleick,9780007225743,Computing
JavaScript: The Definitive Guide,David Flanagan,9780596805524,Computing
The Art Of God Of War,Sony Computer Entertainment,9781506705743,Computing
Deep Medicine,Eric Topol,9781541644632,Computing
The Cuckoo's Egg,Cliff Stoll,9781416507789,Computing
How to Build a Billion Dollar App,George Berkowski,9780349401379,Computing
Understanding Close-Up Photography,Bryan Peterson,9780817427191,Computing
Diablo III: Book of Tyrael,Blizzard Entertainment,9781608872794,Computing
The Lego Mindstorms Ev3 Idea Book,Yoshihito Isogawa,9781593276003,Computing
Algorithms to Live by,Brian Christian,9781250118363,Computing
User Stories Applied,Mike Cohn,9780321205681,Computing
Dungeons & Dragons Guildmasters' Guide to Ravnica (D&d/Magic: The Gathering Adventure Book and Campaign Setting),Wizards RPG Team,9780786966592,Computing
Enterprise Integration Patterns,Gregor Hohpe,9780321200686,Computing
"Legend Of Zelda, The: Breath Of The Wild - Creating A Champion",Nintendo,9781506710105,Computing
"Growing Object-Oriented Software, Guided by Tests",Steve Freeman,9780321503626,Computing
The Fourth Industrial Revolution,Klaus Schwab,9780241300756,Computing
How to Disappear,Frank M. Ahearn,9781599219776,Computing
Java Concurrency in Practice,Brian F. Goetz,9780321349606,Computing
Information Dashboard Design,Stephen Few,9781938377006,Computing
The Lego Technic Idea Book: Fantastic Contraptions,Yoshihito Isogawa,9781593272791,Computing
Programming,Bjarne Stroustrup,9780321992789,Computing
Overwatch: Anthology Volume 1,Blizzard Entertainment,9781506705408,Computing
The Art Of Overwatch,Blizzard Entertainment,9781506703671,Computing
The World of Karl Pilkington,Karl Pilkington,9780007285402,Computing
"Legend Of Zelda, The: Breath Of The Wild - Creating A Champion Hero's Edition",Nintendo,9781506710112,Computing
"Diffusion of Innovations, 5th Edition",Everett M. Rogers,9780743222099,Computing
Black Hat Python,Justin Seitz,9781593275907,Computing
The Future of the Professions,Richard E. Susskind,9780198713395,Computing
You Don't Know JS : Scope and Closures,Kyle Simpson,9781449335588,Computing
Adobe Photoshop CC Classroom in a Book,Andrew Faulkner,9780135261781,Computing
Implementing Domain-Driven Design,Vaughn Vernon,9780321834577,Computing
"Eloquent Javascript, 3rd Edition",Marijn Haverbeke,9781593279509,Computing
Agile Estimating and Planning,Mike Cohn,9780131479418,Computing
The Elements of Computing Systems,Noam Nisan,9780262640688,Computing
Beginners Guide to Digital Painting in Photoshop Vol 1,Nykolai Aleksander,9780955153075,Computing
Hashtag Authentic,Sara Tasker,9781911127611,Computing
Our Final Invention,James Barrat,9781250058782,Computing
How to Create a Mind,Ray Kurzweil,9780715647332,Computing
Agile Retrospectives - Making Good Teams Great,Esther Derby,9780977616640,Computing
How to Break Up With Your Phone,Catherine Price,9781409176268,Computing
How to Photograph Absolutely Everything,Tom Ang,9781405333078,Computing
The Emperor's New Mind,Roger Penrose,9780198784920,Computing
The Definitive Guide to DAX,Marco Russo,9781509306978,Computing
Game Programming Patterns,Robert Nystrom,9780990582908,Computing
About Face,Alan Cooper,9781118766576,Computing
UX Bites - Small bites of information about User Experience Design,Gabriel Kirmaier,9789730298222,Computing
Grokking Algorithms,Aditya Y. Bhargava,9781617292231,Computing
"SQL in 10 Minutes, Sams Teach Yourself",Ben Forta,9780672336072,Computing
The Lego Technic Idea Book: Wheeled Wonders,Yoshihito Isogawa,9781593272784,Computing
Reality is Broken,Jane McGonigal,9780099540281,Computing
Why Does Asparagus Make Your Wee Smell?,Andy Brunning,9781409156628,Computing
Prediction Machines,A. Agrawal,9781633695672,Computing
The Code Book,Dr. Simon Singh,9780385495325,Computing
The Sky: The Art of Final Fantasy,Yoshitaka Amano,9781616551605,Computing
Countdown To Zero Day,Kim Zetter,9780770436193,Computing
Management 3.0,Jurgen Appelo,9780321712479,Computing
The Skyrim Library,Bethesda Softworks,9781783293230,Computing
Cambridge IGCSE Computer Science,David Watson,9781471809309,Computing
The Elements of User Experience,Jessie James Garrett,9780321683687,Computing
"Blog Inc Blogging for Passion, Profit, and to Create Community",Joy Deangdeelert Cho,9781452107202,Computing
"Dungeons & Dragons Waterdeep: Dungeon of the Mad Mage (Adventure Book, D&d Roleplaying Game)",Wizards RPG Team,9780786966264,Computing
Data Smart,John W. Foreman,9781118661468,Computing
Platform,Michael Hyatt,9781595555038,Computing
The Art of Game Design,Jesse Schell,9781466598645,Computing
Army of None,Paul Scharre,9780393356588,Computing
Beginner's Guide to Digital Painting: Characters,3dtotal Team,9781909414143,Computing
The Soul of a New Machine,Tracy Kidder,9780316491976,Computing
Web Analytics 2.0,Avinash Kaushik,9780470529393,Computing
Dragon Age: The World Of Thedas Volume 2,Bioware,9781616555016,Computing
The Annotated Turing,Charles Petzold,9780470229057,Computing
Introduction to Information Science,David Bawden,9781856048101,Computing
Functional Programming in Scala,Paul Chiusano,9781617290657,Computing
Gaslands,Mike Hutchinson,9781472818539,Computing
The Death of Expertise,Tom Nichols,9780190865979,Computing
Tom Clancy's The Division,Ubisoft Entertainment,9781452148274,Computing
Theory of Fun for Game Design,Raph Koster,9781449363215,Computing
The Photographer's Eye Remastered 10th Anniversary,Michael Freeman,9781781574553,Computing
Python Cookbook: No. 3,David Beazley,9781449340377,Computing
Super Mario Encyclopedia,Nintendo,9781506708973,Computing
The Art Of Fallout 4,Bethesda Softworks,9781616559809,Computing
The Technological Society,Jacques Ellul,9780394703909,Computing
The Lego Boost Idea Book,Yoshihito Isogawa,9781593279844,Computing
Automating Inequality,Virginia Eubanks,9781250074317,Computing
Read This if You Want to Be Instagram Famous,Henry Carroll,9781780679679,Computing
Impact Mapping,Gojko Adzic,9780955683640,Computing
The Model Thinker,Scott E. Page,9780465094622,Computing
Product Roadmaps Relaunched,C. Todd Lombardo,9781491971727,Computing
Excel 2016 Bible,John Walkenbach,9781119067511,Computing
Practical Malware Analysis,Michael Sikorski,9781593272906,Computing
iGen,Jean M. Twenge,9781501152016,Computing
Hello World,Hannah Fry,9780857525253,Computing
Horizon Zero Dawn Collectors Edition Guide,Future Press,9783869930817,Computing
You Don't Know JS - ES6 & Beyond,Kyle Simpson,9781491904244,Computing
Coding All-in-One For Dummies,Nikhil Abraham,9781119363026,Computing
Speculative Everything,Anthony Dunne,9780262019842,Computing
The Adobe Photoshop Lightroom CC Book for Digital Photographers,Scott Kelby,9780133979794,Computing
You Don't Know JS - This & Object Prototypes,Kyle Simpson,9781491904152,Computing
The Algorithm Design Manual,Steve S. Skiena,9781848000698,Computing
On the Future,Martin Rees,9780691180441,Computing
Making Things Happen,Scott Berkun,9780596517717,Computing
UX Strategy,Jaime Levy,9781449372866,Computing
The Art of How to Train Your Dragon,Linda Sunshine,9781506709772,Computing
The Hacker Playbook 2,Peter Kim,9781512214567,Computing
ITIL foundation handbook,Stationery Office,9780113313495,Computing
Advances in Financial Machine Learning,Marcos Lopez de Prado,9781119482086,Computing
"Work for Money, Design for Love",David Airey,9780321844279,Computing
The Second Machine Age,Erik Brynjolfsson,9780393239355,Computing
UNIX and Linux System Administration Handbook,Evi Nemeth,9780134277554,Computing
Terraria: Hardmode Survival Handbook,,9780141369921,Computing
Agile Testing,Lisa Crispin,9780321534460,Computing
"Windows 7 For Dummies, Book + DVD Bundle",Andy Rathbone,9780470523988,Computing
"How Linux Works, 2nd Edition",Brian Ward,9781593275679,Computing
Cracking the PM Interview,Gayle Laakmann McDowell,9780984782819,Computing
We have been harmonised,Kai Strittmatter,9781913083007,Computing
Drawn to Life: 20 Golden Years of Disney Master Classes,Walt Stanchfield,9780240811079,Computing
World of Warcraft: The Official Cookbook,Chelsea Monroe-cassel,9781608878048,Computing
Vargic's Miscellany of Curious Maps,Martin Vargic,9780718181147,Computing
Business Analysis,James Cadle,9781780172774,Computing
The Art of Intrusion,Kevin D. Mitnick,9780471782667,Computing
Excel 2016 All-in-One For Dummies,Greg Harvey,9781119077152,Computing
Reinforcement Learning,Richard S. Sutton,9780262039246,Computing
The Big Nine,Amy Webb,9781541724419,Computing
The Wall Street Journal Guide to Information Graphics,Dona M. Wong,9780393347289,Computing
Excel 2010 For Dummies,Greg Harvey,9780470489536,Computing
Subscribed,Tien Tzuo,9780241363669,Computing
Forbidden Lego,Ulrik Pilegaard,9781593271374,Computing
Power Pivot and Power Bi,Rob Collie,9781615470396,Computing
CCNA Routing and Switching 200-125 Official Cert Guide Library,Wendell Odom,9781587205811,Computing
AWS Certified Solutions Architect Official Study Guide,John Stamper,9781119138556,Computing
"Light It, Shoot It, Retouch It",Scott Kelby,9780321786616,Computing
Blockchain Basics,Daniel Drescher,9781484226032,Computing
The Web Designer's Idea Book Volume 2,Patrick McNeil,9781600619724,Computing
Agile Product Management with Scrum,Roman Pichler,9780321605788,Computing
Hackers & Painters,Paul Graham,9781449389550,Computing
Getting Started with Arduino,Massimo Banzi,9781449363338,Computing
Machine Learning,Kevin P. Murphy,9780262018029,Computing
ITIL Foundation Exam Study Guide,Liz Gallacher,9781119942757,Computing
The Lego Animation Book,David Pagano,9781593277413,Computing
To Pixar and Beyond,Lawrence Levy,9781786071866,Computing
Dragon Age: Hard In Hightown,V. Tethras,9781506704043,Computing
R Cookbook,Paul Teetor,9780596809157,Computing
Bryan Peterson's Understanding Photography Field Guide,Bryan Peterson,9780817432256,Computing
Dream Worlds: Production Design for Animation,Hans Bacher,9780240520933,Computing
The Systems View of Life,Fritjof Capra,9781316616437,Computing
You Don't Know JS - Async & Performance,Kyle Simpson,9781491904220,Computing
Founders at Work,Jessica Livingston,9781430210788,Computing
"Art of DreamWorks Animation, The",Ramin Zahed,9781419711664,Computing
Succeeding with Agile,Mike Cohn,9780321579362,Computing
Digital Painting Techniques,3DTotal.com,9780240521749,Computing
Darkest Web,Eileen Ormsby,9781760297855,Computing
Data and Goliath,Bruce Schneier,9780393352177,Computing
Assassin's Creed Odyssey,Tim Bogenn,9780744018936,Computing
Internet Password Logbook (Cognac Leatherette),Editors of Rock Point,9781631061943,Computing
You Don't Know JS - Types & Grammar,Kyle Simpson,9781491904190,Computing
Terraria: The Ultimate Survival Handbook,Unknown,9780141369891,Computing
Life After Google,George Gilder,9781621575764,Computing
Cryptoassets: The Innovative Investor's Guide to Bitcoin and Beyond,Chris Burniske,9781260026672,Computing
On Intelligence,Jeff Hawkins,9780805078534,Computing
Coders at Work,Peter Seibel,9781430219484,Computing
The Visual Story,Bruce A. Block,9780240807799,Computing
CCNA Routing and Switching Complete Study Guide,Todd Lammle,9781119288282,Computing
Algorithms,Robert Sedgewick,9780321573513,Computing
Digital Photography Complete Course,DK,9780241186091,Computing
A Tour of C++,Bjarne Stroustrup,9780321958310,Computing
Design for How People Learn,Julie Dirksen,9780134211282,Computing
"CCENT/CCNA ICND1 100-105 Official Cert Guide, Academic Edition",Wendell Odom,9781587205804,Computing
The Perfect Weapon,David E. Sanger,9781911617723,Computing
Super Scratch Programming Adventure (covers Version 2),The Lead Project,9781593275310,Computing
How to Speak Emoji,Fred Benenson,9781785032028,Computing
The Sketchnote Handbook Video Edition,Mike Rohde,9780321885111,Computing
"Terraria Tips, Hints, Cheats, Strategy and Walk-Through",Maple Tree Books,9781499620344,Computing
Art Of Metal Gear Solid I-iv,Y. Shinkawa,9781506705811,Computing
Accelerated C++,Andrew Koenig,9780201703535,Computing
Querying Microsoft (R) SQL Server (R) 2012,Dejan Sarka,9780735666054,Computing
Excel 2010 Bible,John Walkenbach,9780470474877,Computing
"C# in Depth, 4E",Jon Skeet,9781617294532,Computing
Arduino Cookbook,Michael Margolis,9781449313876,Computing
Release It! Design and Deploy Production-Ready Software,Michael T. Nygard,9781680502398,Computing
"Machine, Platform, Crowd",Andrew McAfee,9780393254297,Computing
The Future of the Professions,Daniel Susskind,9780198799078,Computing
Dark Souls Remastered Collector's Edition Guide,Future Press,9783869930893,Computing
Make: Analog Synthesizers,Ray Wilson,9781449345228,Computing
New Power,Jeremy Heimans,9781509814190,Computing
Console Wars,Blake J Harris,9780062276704,Computing
"Think Python, 2e",Allen B. Downey,9781491939369,Computing
Managing Humans,Michael Lopp,9781484221570,Computing
A Beginner's Guide To Day Trading Online 2nd Edition,Toni Turner,9781593376864,Computing
Xero For Dummies,Heather Smith,9780730334255,Computing
Stranger Things: Darkness on the Edge of Town,Adam Christopher,9781780899992,Computing
You Are Not A Gadget,Jaron Lanier,9780141049113,Computing
Learn You A Haskell For Great Good,Miran Lipovaca,9781593272838,Computing
Thing Explainer,Randall Munroe,9780544668256,Computing
The Big Book of Dashboards,Steve Wexler,9781119282716,Computing
OCA / OCP Java SE 8 Programmer Certification Kit,Jeanne Boyarsky,9781119272090,Computing
Dark Souls II: Design Works,From Software,9781927925560,Computing
R For Dummies,Andrie de Vries,9781119055808,Computing
Excel 2016 Power Programming with VBA,Michael Alexander,9781119067726,Computing
The Ultimate Guide To Video Game Writing And Design,Flint Dille,9781580650663,Computing
Glow Kids,Nicholas Kardaras,9781250146557,Computing
Dark Souls III: Design Works,Various,9781772940640,Computing
Sketching from the Imagination: Dark Arts,3dtotal Publishing,9781909414532,Computing
Introduction to Computation and Programming Using Python,John V. Guttag,9780262529624,Computing
The Art Of Dishonored 2,Bethesda Games,9781506702292,Computing
Troll Hunting,Ginger Gorman,9781743794357,Computing
Pragmatic Thinking and Learning,Andy Hunt,9781934356050,Computing
Content Strategy for the Web,Kristina Halvorson,9780321808301,Computing
Super Famicom: The Box Art Collection,Bitmap Books,9780993012969,Computing
SCJP Sun Certified Programmer for Java 6 Study Guide,Kathy Sierra,9780071591065,Computing
How to See the World,Nicholas Mirzoeff,9780141977409,Computing
The Art of Destiny,Bungie,9781783297443,Computing
Level Up! The Guide to Great Video Game Design,Scott Rogers,9781118877166,Computing
Pokemon Ultra Sun & Pokemon Ultra Moon: The Official Alola Region Strategy Guide,,9781911015383,Computing
The Art of Magic: The Gathering - Ravnica,James Wyatt,9781974705528,Computing
MYOB Software for Dummies - Australia,Veechi Curtis,9780730315377,Computing
JavaScript Patterns,Stoyan Stefanov,9780596806750,Computing
Kanban,David J. Anderson,9780984521401,Computing
"Programming Arduino: Getting Started with Sketches, Second Edition",Simon Monk,9781259641633,Computing
Linux Kernel Development,Robert Love,9780672329463,Computing
Cybersecurity and Cyberwar,Peter W. Singer,9780199918119,Computing
Coding For Dummies,Nikhil Abraham,9781119293323,Computing
Soft Skills:The software developer's life manual,John Z. Sonmez,9781617292392,Computing
PRINCE2 Study Guide,David Hinde,9781119970781,Computing
Nier: Automata World Guide Volume 1,Square Enix,9781506710310,Computing
Agile Project Management with Scrum,Ken Schwaber,9780735619937,Computing
UML Distilled,Martin Fowler,9780321193681,Computing
The Functional Art,Alberto Cairo,9780321834737,Computing
Directing the Story,Francis Glebas,9780240810768,Computing
PRINCE2 Agile,AXELOS,9780113314676,Computing
The Art Of R Programming,Norman Matloff,9781593273842,Computing
Burn Your Portfolio,Michael Janda,9780321918680,Computing
Visualize This,Nathan Yau,9780470944882,Computing
Ultimate History Video Games,Steven Kent,9780761536437,Computing
Modding Minecraft,Sarah Guthals,9781119177272,Computing
344 Questions,Stefan G. Bucher,9780321733009,Computing
Penetration Testing,Georgia Weidman,9781593275648,Computing
Picture Perfect Practice,Roberto Valenzuela,9780321803535,Computing
"Eloquent Javascript, 2nd Ed.",Marijn Haverbeke,9781593275846,Computing
Effective Python,Brett Slatkin,9780134034287,Computing
How to Write a Better Thesis,David Evans,9783319042855,Computing
Timing for Animation,John Halas,9780240521602,Computing
Adobe InDesign CS6 Classroom in a Book,Adobe Creative Team,9780321822499,Computing
Masters of Doom,David Kushner,9780812972153,Computing
The Art of Deus Ex Universe,Paul Davies,9781783290987,Computing
"CISSP All-in-One Exam Guide, Seventh Edition",Shon Harris,9780071849272,Computing
The Art Of Fire Emblem,Various,9781616559380,Computing
The Lego Mindstorms Ev3 Laboratory,Daniele Benedettelli,9781593275334,Computing
OCA: Oracle Certified Associate Java SE 8 Programmer I Study Guide,Jeanne Boyarsky,9781118957400,Computing
Head First JavaScript Programming,Eric Freeman,9781449340131,Computing
Football Manager Stole My Life,Iain Macintosh,9780956497178,Computing
The Hidden Power of F*cking Up,The Try Guys,9780062879615,Computing
Configuring Windows (R) 7 (Corrected Reprint Edition),Ian McLean,9780735627086,Computing
The Inmates Are Running the Asylum,Alan Cooper,9780672326141,Computing
The Art of Dead Space,Martin Robinson,9781781164266,Computing
A Project Guide to UX Design,Russ Unger,9780321815385,Computing
Excel 2010 All-in-One For Dummies,Greg Harvey,9780470489598,Computing
The Dark Net,Jamie Bartlett,9780099592020,Computing
Metasploit,Jr.  David Kennedy,9781593272883,Computing
Hackers,Steven Levy,9781449388393,Computing
Programming Python,Mark Lutz,9780596158101,Computing
Dreams Come to Life,Adrienne Kress,9781338343946,Computing
Red Dead Redemption 2,Piggyback,9781911015550,Computing
The Internet of Money Volume Two,Andreas M Antonopoulos,9781947910065,Computing
Passing your ITIL foundation exam,Christian F. Nissen,9780113313556,Computing
The Best of The Digital Photography Book Series,Scott Kelby,9780134385129,Computing
Alan Turing: The Enigma,Andrew Hodges,9780691164724,Computing
Extreme Programming Explained,Kent Beck,9780321278654,Computing
Internet Address Password Log Black,Peter Pauper Press,9781441303257,Computing
Hacker's Delight,Henry S. Warren,9780321842688,Computing
The Pokemon Sun & Pokemon Moon,,9781911015154,Computing
"Cooking for Geeks, 2e",Jeff Potter,9781491928059,Computing
The C++ Programming Language,Bjarne Stroustrup,9780321958327,Computing
The Lego Mindstorms Nxt 2.0 Discovery Book,Laurens Valk,9781593272111,Computing
The Elder Scrolls V - The Skyrim Library,Bethesda Softworks,9781783293193,Computing
Software Architecture in Practice,Len Bass,9780321815736,Computing
"Learn Windows PowerShell in a Month of Lunches, Third Edition",Donald W. Jones,9781617294167,Computing
Sorry Bro!,Ben Phillips Media Limited,9781911274049,Computing
The Fortnite Guide to Staying Alive,Damien Kuhn,9781449499396,Computing
The Essential Pokemon Book of Joy,The Pokemon Company International Inc,9781780896939,Computing
Terraria: Crafting and Construction Handbook,,9780141369907,Computing
Head First HTML and CSS,Elisabeth Robson,9780596159900,Computing
Adobe Illustrator CS5 Classroom in a Book,Adobe Creative Team,9780321701787,Computing
Programming Collective Intelligence,Toby Segaran,9780596529321,Computing
Life is Strange,Matt Forbeck,9781785659355,Computing
In The Plex,Steven Levy,9781416596585,Computing
The Linux Programming Interface,Michael Kerrisk,9781593272203,Computing
Learn To Program With Scratch,Majed Marji,9781593275433,Computing
Ultimate Guide to Google AdWords,Perry Marshall,9781599186122,Computing
C Programming Absolute Beginner's Guide,Greg Perry,9780789751980,Computing
Python For Dummies,Stef Maruch,9780471778646,Computing
The Data Warehouse Toolkit,Ralph Kimball,9781118530801,Computing
Passing the PRINCE2 Examinations 2009,Office of Government Commerce,9780113311903,Computing
Programming Pearls,Jon Bentley,9780201657883,Computing
Exploring Arduino,Jeremy Blum,9781118549360,Computing
Python Machine Learning -,Sebastian Raschka,9781787125933,Computing
Excel 2013 Bible,John Walkenbach,9781118490365,Computing
The Ultimate Roblox Book: An Unofficial Guide,David Jagneaux,9781507205334,Computing
The Art of Invisibility,Kevin D. Mitnick,9780316380508,Computing
Smart Girls GD Digital World,Carrie Anton,9781683370437,Computing
The Basics of Hacking and Penetration Testing,Patrick Engebretson,9780124116443,Computing
Learn To Program With Minecraft,Craig Richardson,9781593276706,Computing
SPSS Survival Manual,Julie Pallant,9780335261543,Computing
The Agile Samurai,Jonathan Rasmusson,9781934356586,Computing
The Business Blockchain,William Mougayar,9781119300311,Computing
Articulating Design Decisions,Tom Greever,9781491921562,Computing
The Lego Architecture Ideas Book,Alice Finch,9781593278212,Computing
"Computer Networking: A Top-Down Approach, Global Edition",James Kurose,9781292153599,Computing
Irresistible,Adam Alter,9781784701659,Computing
Excel 2013 Power Programming with VBA,John Walkenbach,9781118490396,Computing
KSI: I Am a Bellend,Ksi,9781409161233,Computing
Cryptography: A Very Short Introduction,Fred C. Piper,9780192803153,Computing
Quantum Computation and Quantum Information,Michael A. Nielsen,9781107002173,Computing
The Truthful Art,Alberto Cairo,9780321934079,Computing
The Facebook Effect,David Kirkpatrick,9780753522752,Computing
Excel 2007 For Dummies,Greg Harvey,9780470037379,Computing
Applied Predictive Modeling,Max Kuhn,9781461468486,Computing
Art of Assassin's Creed IV,Andy McVittie,9781781169032,Computing
Product Leadership,Richard Banfield,9781491960608,Computing
Concrete Mathematics,Ronald L. Graham,9780201558029,Computing
"Windows Internals, Part 1",Pavel Yosifovich,9780735684188,Computing
Deluxe,Dana Thomas,9780143113706,Computing
Python Machine Learning,Sebastian Raschka,9781783555130,Computing
Blockchain,Melanie Swan,9781491920497,Computing
Mastering Ethereum,Andreas Antonopoulos,9781491971949,Computing
"(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide, 8e & CISSP Official (ISC)2 Practice Tests, 2e",Mike Chapple,9781119523260,Computing
2062: The World that AI Made,Toby Walsh,9781760640514,Computing
"Programming in Scala, 3rd Edition",Martin Odersky,9780981531687,Computing
Kubernetes - Up and Running,Kelsey Hightower,9781491935675,Computing
Deep Thinking,Garry Kasparov,9781473653511,Computing
Violent Python,TJ O'Connor,9781597499576,Computing
Head First Python 2e,Paul Barry,9781491919538,Computing
The Sure Thing,Nick Townsend,9780099576587,Computing
Ultimate Minecraft Secrets,Zack Zombie Books,9780692366905,Computing
Technopoly,Neil Postman,9780679745402,Computing
Driving Digital Strategy,Sunil Gupta,9781633692688,Computing
Data Visualization,Kieran Healy,9780691181622,Computing
Adobe Photoshop CS6 for Photographers,Martin Evening,9780240526041,Computing
Adobe Photoshop CS6 for Photographers,Martin Evening,9780240526041,Computing
C# 7.0 in a Nutshell,Joseph Albahari,9781491987650,Computing
Practical Object-Oriented Design in Ruby,Sandi Metz,9780321721334,Computing
The Art of SEO 3e,Eric Enge,9781491948965,Computing
Instant Systems,Bradley J. Sugars,9780071466707,Computing
Excel 2010 Power Programming with VBA,John Walkenbach,9780470475355,Computing
Losing the Head of Philip K. Dick,David Dufty,9781851689224,Computing
Information Graphics,Sandra Rendgen,9783836528795,Computing
The Art of Assassin's Creed III,Andy McVittie,9781781164259,Computing
This Is Service Design Methods,Marc Stickdorn,9781492039594,Computing
DAMA-DMBOK,Dama International,9781634622349,Computing
"Happy Mum, Happy Baby",Giovanna Fletcher,9781473651241,Computing
"Getting Real: The Smarter, Faster, Easier Way to Build a Successful Web Application",37signals,9780578012810,Computing
The Age of Earthquakes,Douglas Coupland,9780399173868,Computing
"Awakening , The Art of Halo 4",Paul Davies,9781781163245,Computing
"The Digital Photography Book, Part 5",Scott Kelby,9780133856880,Computing
Excel 2019 For Dummies,Greg Harvey,9781119513322,Computing
HBR Guide to Data Analytics Basics for Managers (HBR Guide Series),Harvard Business Review,9781633694286,Computing
The Sketchnote Workbook,Mike Rohde,9780133831719,Computing
"An Introduction to Information Theory, Symbols, Signals and Noise",John R. Pierce,9780486240619,Computing
"Making Things Move DIY Mechanisms for Inventors, Hobbyists, and Artists",Dustyn Roberts,9780071741675,Computing
Adobe Illustrator CC Classroom in a Book,Brian Wood,9780135262160,Computing
The Rust Programming Language,Steve Klabnik,9781593278281,Computing
How to Create a Mind,Ray Kurzweil,9780143124047,Computing
Photography,Tom Ang,9781409346456,Computing
The Official Scratch Jr. Book,Marina Umaschi Bers,9781593276713,Computing
The Human Web,J.R. McNeil,9780393925685,Computing
iWoz,Steve Wozniak,9780393330434,Computing
Beginning C++ Through Game Programming,Michael Dawson,9781435457423,Computing
The Passionate Programmer,Chad Fowler,9781934356340,Computing
Engineering Mathematics,K. A. Stroud,9781137031204,Computing
The Art of Point-and-Click Adventure Games,Bitmap Books,9780995658660,Computing
Excel 2019 Bible,Michael Alexander,9781119514787,Computing
Advanced Excel Reporting for Management Accountants,Neale Blackwood,9781118657720,Computing
Internet Address Password Log Red,Peter Pauper Press,9781441308146,Computing
LikeWar,P W Singer,9781328695741,Computing
Windows 7 For Seniors For Dummies,Mark Justice Hinton,9780470509463,Computing
Underwater Photography Masterclass,Alex Mustard,9781781452226,Computing
Ten Things Your Student with Autism Wishes You Knew,Ellen Notbohm,9781932565362,Computing
Final Fantasy Ultimania Archive Volume 2,Square Enix,9781506706627,Computing
Designing Interactions,Bill Moggridge,9780262134743,Computing
Rules of Play,Katie Salen Tekinbas,9780262240451,Computing
C++ Pocket Reference,Kyle Loudon,9780596004965,Computing
"Patterns, Principles, and Practices of Domain-Driven Design",Scott Millett,9781118714706,Computing
Ultimate Guide to Facebook Advertising,Perry Marshall,9781599186115,Computing
Bitcoin and Cryptocurrency Technologies,Arvind Narayanan,9780691171692,Computing
The Attention Merchants,Tim Wu,9781782394853,Computing
How to Sell Your Art Online,Cory Huff,9780062414953,Computing
Learning SQL,Alan Beaulieu,9780596520830,Computing
Final Fantasy Ultimania Archive Volume 3,Square Enix,9781506708010,Computing
Human + Machine,H. James Wilson,9781633693869,Computing
How We Became Posthuman,N. Katherine Hayles,9780226321462,Computing
Natural Language Processing with Python,Steven Bird,9780596516499,Computing
Liars and Outliers,Bruce Schneier,9781118143308,Computing
Final Fantasy Ultimania Archive Volume 1,S. Enox,9781506706443,Computing
Blue Team Field Manual (BTFM),Ben Clark,9781541016361,Computing
The Art Of Mass Effect: Andromeda,Bioware,9781506700755,Computing
Lessons Learned in Software Testing,Cem Kaner,9780471081128,Computing
The Hacker Playbook 3,Peter Kim,9781980901754,Computing
Hacks for Fortniters,Jason R. Rich,9781510740549,Computing
The Art of Assassin's Creed Odyssey,Kate Lewis,9781785659652,Computing
Foundations of Software Testing ISTQB Certification,Dorothy Graham,9781408044056,Computing
New Power,Jeremy Heimans,9781509814206,Computing
A Tour of C++,Bjarne Stroustrup,9780134997834,Computing
The Little SAS Book,Lora Delwiche,9781612903439,Computing
Learning UML 2.0,Russell Miles,9780596009823,Computing
Digital Minimalism,Cal Newport,9780525536512,Computing
The Genealogist's Internet,Peter Christian,9781408159576,Computing
Microsoft Flight Simulator X For Pilots,Jeff Van West,9780764588228,Computing
The Business Analyst's Handbook,Howard Podeswa,9781598635652,Computing
Mastering Regular Expressions,Jeffrey E.F. Friedl,9780596528126,Computing
Cryptography Engineering,Niels Ferguson,9780470474242,Computing
Color Correction Handbook,Alexis van Hurkman,9780321929662,Computing
The Shellcoder's Handbook,Chris Anley,9780470080238,Computing
The Art of Assassin's Creed Origins,Paul Davies,9781785655166,Computing
Thinking in Java,Bruce Eckel,9780131872486,Computing
Click Here to Kill Everybody,Bruce Schneier,9780393608885,Computing
"Agile Principles, Patterns, and Practices in C#",Robert C. Martin,9780131857254,Computing
Here Comes Everybody,Clay Shirky,9780143114949,Computing
Why I Am Not Going to Buy a Computer,Wendell Berry,9780241337561,Computing
Programming Rust,Jim Blandy,9781491927281,Computing
The Art Of Splatoon,Nintendo USA,9781506704005,Computing
Blue Team Handbook,Don Murdoch Gse,9781500734756,Computing
Scratch For Kids For Dummies,Derek Breen,9781119014874,Computing
"Learning To See Creatively, Third Edition",Bryan F. Petersen,9781607748274,Computing
"Information Architecture, 4e",Louis Rosenfeld,9781491911686,Computing
The Elder Scrolls V - The Skyrim Library,Bethesda Softworks,9781783293209,Computing
The Best Interface Is No Interface,Golden Krishna,9780133890334,Computing
Layout Workbook,Kristin Cullen,9781592533527,Computing
Windows 10 For Dummies,Andy Rathbone,9781119470861,Computing
Windows 7 For Dummies,Andy Rathbone,9780470497432,Computing
Diablo Bestiary,Blizzard Entertainment,9781945683206,Computing
ITIL service lifecycle publication suite [print],Great Britain: Cabinet Office,9780113313235,Computing
Possible Minds,John Brockman,9780525557999,Computing
Hadoop - The Definitive Guide 4e,Tom White,9781491901632,Computing
Windows 8 For Dummies,Andy Rathbone,9781118134610,Computing
