,name,author,book_depository_stars,isbn,category
3806,Kon Tiki,Thor Heyerdahl,4.0,9780671726522,Biography
3807,Run Baby Run,Nicky Cruz,4.0,9780340861967,Biography
3808,Persepolis I & II,Marjane Satrapi,4.5,9780224080392,Biography
3809,Pihkal,Alexander T. Shulgin,4.5,9780963009609,Biography
3810,Alan Turing: The Enigma,Andrew Hodges,4.0,9780099116417,Biography
3811,Grinding it out,Ray Kroc,4.0,9780312929879,Biography
3812,Making It Up As I Go Along,Marian Keyes,4.0,9781405922074,Biography
3813,What Remains,Carole Radziwill,4.0,9780743277181,Biography
3814,Fear and Loathing in Las Vegas,Hunter S. Thompson,4.0,9780679785897,Biography
3815,I Have Lived A Thousand Years: Growing up in the Holocaust,Livia Bitton-Jackson,4.0,9780689823954,Biography
3816,String Theory: David Foster Wallace On Tennis,David Foster Wallace,4.0,9781598534801,Biography
3817,Quiet Girl in a Noisy World,Debbie Tung,4.5,9781449486068,Biography
3818,Buffett,Roger Lowenstein,4.5,9780812979275,Biography
3819,84 Charing Cross Road,Helene Hanff,4.0,9781860498503,Biography
3820,Pep Confidential,Marti Perarnau,4.0,9781909715257,Biography
3821,The Last Black Unicorn,Tiffany Haddish,4.0,9781501181825,Biography
3822,The Man Who Loved China,Author and Historian Simon Winchester,4.0,9780060884611,Biography
3823,The Forgotten Highlander,Alistair Urquhart,4.5,9780349122571,Biography
3824,Insomniac City,Bill Hayes,4.5,9781620404935,Biography
3825,In Extremis,Lindsey Hilsum,4.5,9781784740931,Biography
3826,Singin' & Swingin' and Gettin' Merry Like Christmas,Maya Angelou,4.0,9781844085033,Biography
3827,The Secret Barrister,The Secret Barrister,4.0,9781509884742,Biography
3828,The Bell Jar,Sylvia Plath,4.0,9780571308408,Biography
3829,Adventures In The Screen Trade,William Goldman,4.0,9780349107059,Biography
3830,French Kids Eat Everything,Karen Le Billon,4.0,9780749958510,Biography
3831,Fine Cotton Fiasco,Peter Hoysted,0.0,9780143793700,Biography
3832,The Saddest Girl in the World,Cathy Glass,4.5,9780007281046,Biography
3833,"Kerry O'Brien, a Memoir",Kerry O'Brien,4.0,9781760296438,Biography
3834,In Real Life,Joey Graceffa,4.5,9781476794303,Biography
3835,The Devil in the Kitchen,Marco Pierre White,4.0,9780752881614,Biography
3836,Admissions,Henry Marsh,4.0,9781474603874,Biography
3837,What If I Had Never Tried It,Valentino Rossi,4.0,9780099486961,Biography
3838,I Am The Secret Footballer,Anon,3.5,9781783350049,Biography
3839,Fresh Off The Boat,Eddie Huang,3.5,9780812983357,Biography
3840,Next Level Basic,Stassi Schroeder,3.5,9781982112462,Biography
3841,Mein Kampf,Adolf Hitler,3.0,9780395925034,Biography
3842,"Animal, Vegetable, Miracle",Barbara Kingsolver,4.0,9780571233571,Biography
3843,"So, Anyway...",John Cleese,3.5,9780099580089,Biography
3844,Killing Pablo,Mark Bowden,4.0,9780857891495,Biography
3845,Girl in a Band,Kim Gordon,3.5,9780571309351,Biography
3846,Incidents in the Life of a Slave Girl,Harriet Jacobs,4.0,9780486419312,Biography
3847,The Glass Castle,Jeannette Walls,4.5,9780743247542,Biography
3848,"Steven Adams: My Life, My Fight",Steven Adams,4.5,9780143771296,Biography
3849,A Higher Call,Adam Makos,4.5,9781782392569,Biography
3850,The Accidental Billionaires,Ben Mezrich,3.5,9780307740984,Biography
3851,An African Love Story,Dame Daphne Sheldrick,4.0,9780670919710,Biography
3852,Alive,Piers Paul Read,4.0,9780380003211,Biography
3853,To Shake the Sleeping Self,Jedidiah Jenkins,4.0,9781524761387,Biography
3854,The Gutsy Girl,Caroline Paul,4.0,9781632861238,Biography
3855,The Disaster Artist,Greg Sestero,4.5,9781476730400,Biography
3856,Mao: The Unknown Story,Jon Halliday,4.0,9780099507376,Biography
3857,The Boy Who Followed His Father into Auschwitz,Jeremy Dronfield,4.5,9780241374948,Biography
3858,Queen Unseen - My Life with the Greatest Rock Band of the 20th Century: Revised and with Added Material,Peter Hince,3.5,9781784187712,Biography
3859,The Unlikely Voyage of Jack De Crow,A. J. MacKinnon,4.0,9781574091526,Biography
3860,The Journey Home,Kryon,4.5,9781561705528,Biography
3861,The Psychopath Test,Jon Ronson,4.0,9781594485756,Biography
3862,Life With Picasso,Francoise Gilot,4.0,9781853812330,Biography
3863,Voices from Chernobyl,Svetlana Alexievich,4.5,9781564784018,Biography
3864,Wild,Cheryl Strayed,4.0,9780857897763,Biography
3865,Maus: My Father Bleeds History v. 1,Art Spiegelman,4.5,9780394747231,Biography
3866,Yoga Girl,Rachel Brathen,4.5,9781501106767,Biography
3867,The Education of Little Tree,Forrest Carter,4.0,9780826328090,Biography
3868,"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,4.0,9781416596363,Biography
3869,Light and Shadow,Mark Colvin,4.0,9780522870893,Biography
3870,Ma'am Darling,Craig Brown,3.5,9780008203610,Biography
3871,Proof of Heaven,Eben Alexander,3.5,9781451695182,Biography
3872,A Burglar'S Guide to the City,Geoff Manaugh,3.5,9780374117269,Biography
3873,Daring & Disruptive,Lisa Messenger,4.0,9780987097460,Biography
3874,It's So Easy (and other lies),Duff McKagan,4.0,9781409127390,Biography
3875,Business Stripped Bare,Sir Richard Branson,4.0,9780753515037,Biography
3876,Julie and Julia,Julie Powell,3.5,9780316042512,Biography
3877,Running in the Family,Michael Ondaatje,4.0,9780679746690,Biography
3878,Beautiful Boy,David Sheff,4.0,9780547203881,Biography
3879,The Science Book,DK,4.0,9781409350156,Biography
3880,Dottir,Katrin Davidsdottir,4.5,9781250142641,Biography
3881,Silence,Erling Kagge,4.0,9780241309889,Biography
3882,Innovators,Walter Isaacson,4.0,9781471138805,Biography
3883,The Nowhere Men,Michael Calvin,4.0,9780099580263,Biography
3884,House of Evil,John Dean,3.5,9780312946999,Biography
3885,The Millionaire Castaway,Dave Glasheen,0.0,9781925712797,Biography
3886,Blue Nights,Joan Didion,4.0,9780007432905,Biography
3887,Initiation,Elisabeth Haich,4.5,9780943358505,Biography
3888,As I Walked Out One Midsummer Morning,Laurie Lee,4.0,9780241953280,Biography
3889,The Wicked Wit of Winston Churchill,Dominique Enright,4.0,9781843175650,Biography
3890,The Man Without a Face,Masha Gessen,4.0,9781847084231,Biography
3891,Cleo,Helen Brown,4.0,9781444700145,Biography
3892,The Elephant Whisperer,Lawrence Anthony,4.5,9781250007810,Biography
3893,Seven Days In The Art World,Sarah Thornton,3.5,9781847080844,Biography
3894,The Diary of a Young Girl,Anne Frank,4.0,9780141182759,Biography
3895,Born On a Blue Day,Daniel Tammet,4.0,9780340899755,Biography
3896,My Story,Dave Pelzer,4.0,9780752864013,Biography
3897,You Deserve A Drink,Mamrie Hart,4.0,9780142181676,Biography
3898,How Not To Be a Boy,Robert Webb,4.0,9781786890115,Biography
3899,The Great Successor,Anna Fifield,4.0,9781529387216,Biography
3900,Michael Jordan,Roland Lazenby,4.5,9780316194778,Biography
3901,Land's Edge,Tim Winton,4.0,9781447203094,Biography
3902,The Forgotten Soldier,Guy Sajer,4.5,9780304352401,Biography
3903,Thomas Cromwell,Diarmaid MacCulloch,4.0,9780241952337,Biography
3904,It's Not About The Bike,Lance Armstrong,3.5,9780224060875,Biography
3905,Alone on the Wall,Alex Honnold,4.0,9780393356144,Biography
3906,The River of Consciousness,Oliver Sacks,4.0,9781447263661,Biography
3907,First They Killed My Father,Loung Ung,4.5,9780060856267,Biography
3908,Thomas Jefferson,Christopher Hitchens,4.0,9780060837068,Biography
3909,Married To A Bedouin,Marguerite van Geldermalsen,3.5,9781844082209,Biography
3910,The Durrells of Corfu,Michael Haag,4.0,9781781257883,Biography
3911,Catching the Wolf of Wall Street,Jordan Belfort,4.0,9781444786835,Biography
3912,Eric Clapton: The Autobiography,Eric Clapton,4.0,9780099505495,Biography
3913,Letters to a Young Poet,Rainer Maria Rilke,4.5,9781603864800,Biography
3914,The Diary of a Young Girl,Anne Frank,4.0,9780241952443,Biography
3915,The Life and Loves of a He Devil,Graham Norton,4.0,9781444790283,Biography
3916,Mad Girl,Bryony Gordon,4.0,9781472232090,Biography
3917,Bombshell,Ludwig Leidig,5.0,9781625163462,Biography
3918,The Years of Lyndon Johnson,Robert A. Caro,4.5,9780679729457,Biography
3919,Music in the Castle of Heaven,John Eliot Gardiner,4.0,9780141977591,Biography
3920,With the Old Breed,Eugene B. Sledge,4.5,9780091937522,Biography
3921,Fate is the Hunter,Ernest K. Gann,4.5,9781908059024,Biography
3922,Alibaba,Duncan Clark,4.0,9780062413406,Biography
3923,Selected Poems of Sylvia Plath,Sylvia Plath,4.0,9780571135868,Biography
3924,All God's Children Need Travelling Shoes,Maya Angelou,4.5,9781844085057,Biography
3925,Recovery,Russell Brand,4.0,9781509844944,Biography
3926,The Justice Game,Geoffrey Robertson,4.0,9780099581918,Biography
3927,Marie Antoinette,Lady Antonia Fraser,4.0,9780753813058,Biography
3928,The Lives of the Artists,Giorgio Vasari,3.5,9780199537198,Biography
3929,The Pillow Book,Sei Shonagon,4.0,9780140448061,Biography
3930,Somebody to Love,Matt Richards,4.0,9781911600046,Biography
3931,The End of Your Life Book Club,Will Schwalbe,4.0,9781444706383,Biography
3932,Confessions of a Conjuror,Derren Brown,4.0,9781905026593,Biography
3933,Troublemaker,Leah Remini,4.0,9781101886984,Biography
3934,Dreams from My Father,Barack Obama,4.0,9781400082773,Biography
3935,A Scandalous Life,Mary S. Lovell,4.0,9781857024692,Biography
3936,A Year of Biblical Womanhood,Rachel Held Evans,4.0,9781595553676,Biography
3937,The Salt Path,Raynor Winn,4.0,9780241349649,Biography
3938,P.G. Wodehouse: A Life in Letters,P. G. Wodehouse,4.0,9780099514794,Biography
3939,Desert Solitaire,Edward Abbey,4.0,9780345326492,Biography
3940,Racing Through the Dark,David Millar,4.0,9781409120384,Biography
3941,The Boy Who Harnessed the Wind,William Kamkwamba,4.0,9780007316199,Biography
3942,Cityboy: Beer and Loathing in the Square Mile,Geraint Anderson,3.5,9780755346189,Biography
3943,Letters to the Midwife,Jennifer Worth,4.0,9781780224640,Biography
3944,The Pigeon Tunnel,John Le Carré,4.0,9780241976890,Biography
3945,Can't We Talk about Something More Pleasant?,Roz Chast,4.0,9781608198061,Biography
3946,An Unsung Hero,Michael Smith,4.5,9781905172863,Biography
3947,Things The Grandchildren Should Know,Mark Oliver Everett,4.5,9780349120843,Biography
3948,The Barefoot Investor,Scott Pape,4.5,9780730324218,Business-Finance-Law
3949,How to Win Friends and Influence People,Dale Carnegie,4.0,9781439199190,Business-Finance-Law
3950,"Thinking, Fast and Slow",Daniel Kahneman,4.0,9780141033570,Business-Finance-Law
3951,Start With Why,Simon Sinek,4.0,9780241958223,Business-Finance-Law
3952,Man's Search For Meaning,Viktor E. Frankl,4.5,9781846041242,Business-Finance-Law
3953,Daring Greatly,Brene Brown,4.5,9780241257401,Business-Finance-Law
3954,The Intelligent Investor,Benjamin Graham,4.0,9780060555665,Business-Finance-Law
3955,Dare to Lead,Brene Brown,4.0,9781785042140,Business-Finance-Law
3956,Mindset - Updated Edition,Carol Dweck,4.0,9781472139955,Business-Finance-Law
3957,The 4-Hour Work Week,Timothy Ferriss,4.0,9780091929114,Business-Finance-Law
3958,Rich Dad Poor Dad,Robert T. Kiyosaki,4.0,9781612680194,Business-Finance-Law
3959,Factfulness,Hans Rosling,4.5,9781473637467,Business-Finance-Law
3960,influence,Robert B. Cialdini,4.0,9780061241895,Business-Finance-Law
3961,Never Split the Difference,Chris Voss,4.5,9781847941497,Business-Finance-Law
3962,Principles,Ray Dalio,4.0,9781501124020,Business-Finance-Law
3963,Elon Musk,Ashlee Vance,4.0,9780753557525,Business-Finance-Law
3964,Bad Blood,John Carreyrou,4.5,9781509868087,Business-Finance-Law
3965,Legacy,James Kerr,4.0,9781472103536,Business-Finance-Law
3966,The Lean Startup,Eric Ries,4.0,9780670921607,Business-Finance-Law
3967,StrengthsFinder 2.0,Tom Rath,4.0,9781595620156,Business-Finance-Law
3968,Who Moved My Cheese,Spencer Johnson,4.0,9780091816971,Business-Finance-Law
3969,Deep Work,Cal Newport,4.0,9780349411903,Business-Finance-Law
3970,Shoe Dog,Phil Knight,4.5,9781471146725,Business-Finance-Law
3971,"Guns, Germs And Steel",Jared Diamond,4.0,9780099302780,Business-Finance-Law
3972,Zero to One,Blake Masters,4.0,9780753555200,Business-Finance-Law
3973,The Tipping Point,Malcolm Gladwell,4.0,9780316679077,Business-Finance-Law
3974,Lean In,Sheryl Sandberg,4.0,9780753541647,Business-Finance-Law
3975,"Screw It, Let's Do It",Sir Richard Branson,4.0,9780753510995,Business-Finance-Law
3976,The Richest Man In Babylon,George S. Clason,4.5,9780451205360,Business-Finance-Law
3977,Tools of Titans,Timothy Ferriss,4.0,9781785041273,Business-Finance-Law
3978,Mindset,Carol S. Dweck,4.0,9780345472328,Business-Finance-Law
3979,The Obstacle is the Way,Ryan Holiday,4.0,9781781251492,Business-Finance-Law
3980,Leaders Eat Last,Simon Sinek,4.0,9780670923175,Business-Finance-Law
3981,"Thinking, Fast and Slow",Daniel Kahneman,4.0,9780374533557,Business-Finance-Law
3982,Nudge,Richard H. Thaler,4.0,9780141040011,Business-Finance-Law
3983,How to Win Friends and Influence People,Dale Carnegie,4.0,9780091906818,Business-Finance-Law
3984,"Crucial Conversations: Tools for Talking When Stakes Are High, Second Edition",Kerry Patterson,4.0,9780071771320,Business-Finance-Law
3985,Think and Grow Rich,Napoleon Hill,4.0,9781604591873,Business-Finance-Law
3986,The Art of War,Sun Tzu,4.0,9781599869773,Business-Finance-Law
3987,"It's Not How Good You Are, It's How Good You Want to Be",Paul Arden,3.5,9780714843377,Business-Finance-Law
3988,Everything is Figureoutable,Marie Forleo,4.5,9780241341032,Business-Finance-Law
3989,Business Model Generation,Alexander Osterwalder,4.0,9780470876411,Business-Finance-Law
3990,Getting to Yes,Roger Fisher,4.0,9781847940933,Business-Finance-Law
3991,Essentialism,Greg McKeown,4.0,9780753555163,Business-Finance-Law
3992,The E-Myth Revisited,Michael E. Gerber,4.0,9780887307287,Business-Finance-Law
3993,The Compound Effect,Darren Hardy,4.5,9781593157241,Business-Finance-Law
3994,Factfulness,Hans Rosling,4.5,9781473637474,Business-Finance-Law
3995,Steve Jobs: The Exclusive Biography,Walter Isaacson,4.0,9781408703748,Business-Finance-Law
3996,How to Win Friends and Influence People,Dale Carnegie,4.0,9780091906351,Business-Finance-Law
3997,#Girlboss,Sophia Amoruso,3.5,9780241217931,Business-Finance-Law
3998,"Predictably Irrational, Revised",Dr Dan Ariely,4.0,9780062018205,Business-Finance-Law
3999,The Checklist Manifesto,Atul Gawande,4.0,9781846683145,Business-Finance-Law
4000,The 7 Habits of Highly Effective People,Dr Stephen R Covey,4.0,9781451639612,Business-Finance-Law
4001,Capital in the Twenty-First Century,Thomas  Piketty,4.0,9780674430006,Business-Finance-Law
4002,One Up On Wall Street,Peter Lynch,4.0,9780743200400,Business-Finance-Law
4003,Extreme Ownership,Jocko Willink,4.5,9781250183866,Business-Finance-Law
4004,Think and Grow Rich,Napoleon Hill,4.0,9781585424337,Business-Finance-Law
4005,How to Change Your Mind,Michael Pollan,4.5,9780141985138,Business-Finance-Law
4006,The Black Swan,Nassim Nicholas Taleb,4.0,9780141034591,Business-Finance-Law
4007,The Power of Habit,Charles Duhigg,4.0,9780812981605,Business-Finance-Law
4008,The Five Dysfunctions of a Team,Patrick M. Lencioni,4.0,9780787960759,Business-Finance-Law
4009,"The First 90 Days, Updated and Expanded",Michael D. Watkins,4.0,9781422188613,Business-Finance-Law
4010,Mastery,Robert Greene,4.5,9781781250914,Business-Finance-Law
4011,Good To Great,Jim Collins,4.0,9780712676090,Business-Finance-Law
4012,The Hard Thing About Hard Things,Ben Horowitz,4.0,9780062273208,Business-Finance-Law
4013,Relentless,Tim S. Grover,4.0,9781476714202,Business-Finance-Law
4014,Hooked,Nir Eyal,4.0,9780241184837,Business-Finance-Law
4015,Ego is the Enemy,Ryan Holiday,4.0,9781781257029,Business-Finance-Law
4016,Think and Grow Rich,Napoleon Hill,4.0,9781906465599,Business-Finance-Law
4017,7 Habits Of Highly Effective People,Stephen R. Covey,4.0,9781471129391,Business-Finance-Law
4018,ReWork,David Heinemeier Hansson,4.0,9780091929787,Business-Finance-Law
4019,Show Your Work!,Austin Kleon,4.0,9780761178972,Business-Finance-Law
4020,Radical Candor,Kim Scott,4.0,9781509845385,Business-Finance-Law
4021,The Laws of Human Nature,Robert Greene,4.5,9781781259191,Business-Finance-Law
4022,The Design of Everyday Things,Donald A. Norman,4.0,9780465050659,Business-Finance-Law
4023,Utopia for Realists,Rutger Bregman,4.0,9781408893210,Business-Finance-Law
4024,The Little Book of Common Sense Investing,John C. Bogle,4.0,9781119404507,Business-Finance-Law
4025,The Personal MBA,Josh Kaufman,4.0,9780670919536,Business-Finance-Law
4026,Antifragile,Nassim Nicholas Taleb,4.0,9780141038223,Business-Finance-Law
4027,Together is Better,Simon Sinek,4.0,9780241187296,Business-Finance-Law
4028,Fooled by Randomness,Nassim Nicholas Taleb,4.0,9780141031484,Business-Finance-Law
4029,Nudge,Richard H. Thaler,4.0,9780143115267,Business-Finance-Law
4030,The Ladybird Book of the Meeting,Jason Hazeley,4.0,9780718184377,Business-Finance-Law
4031,Purple Cow,Seth Godin,3.5,9780141016405,Business-Finance-Law
4032,The Happiness Advantage,Shawn Achor,4.0,9780753539477,Business-Finance-Law
4033,Good to Great,James Collins,4.0,9780066620992,Business-Finance-Law
4034,Liar's Poker,Michael Lewis,4.0,9780340839966,Business-Finance-Law
4035,Coaching Habit,Michael Bungay Stanier,4.0,9780978440749,Business-Finance-Law
4036,Emotional Intelligence 2.0,Travis Bradberry,4.0,9780974320625,Business-Finance-Law
4037,The $100 Startup,Chris Guillebeau,4.0,9781447286318,Business-Finance-Law
4038,Tribe of Mentors,Timothy Ferriss,4.0,9781785041853,Business-Finance-Law
4039,Intelligent Investor,Benjamin Graham,4.0,9780060752613,Business-Finance-Law
4040,Eichmann in Jerusalem,Hannah Arendt,4.0,9780143039884,Business-Finance-Law
4041,Secrets of the Millionaire Mind,T Harv Eker,4.0,9780061336454,Business-Finance-Law
4042,The Glass Castle,Jeannette Walls,4.5,9781844081820,Business-Finance-Law
4043,The Market Gardener,Jean-Martin Fortier,4.5,9780865717657,Business-Finance-Law
4044,Think and Grow Rich,Napoleon Hill,4.0,9780449214923,Business-Finance-Law
4045,This is Marketing,Seth Godin,4.0,9780241370148,Business-Finance-Law
4046,The Pyramid Principle,Barbara Minto,4.0,9780273710516,Business-Finance-Law
4047,The Essays of Warren Buffett,Lawrence A. Cunningham,4.5,9781118821152,Business-Finance-Law
4048,The Black Swan: Second Edition,Nassim Nicholas Taleb,4.0,9780812973815,Business-Finance-Law
4049,Value Proposition Design,Alexander Osterwalder,4.5,9781118968055,Business-Finance-Law
4050,The Millionaire Next Door,Thomas J. Stanley,4.0,9781589795471,Business-Finance-Law
4051,Sprint,Jake Knapp,4.0,9780593076118,Business-Finance-Law
4052,Half The Sky,Nicholas D. Kristof,4.5,9781844086825,Business-Finance-Law
4053,The Talent Code,Daniel Coyle,4.0,9780099519850,Business-Finance-Law
4054,Common Stocks and Uncommon Profits and Other Writings,Philip A. Fisher,4.0,9780471445500,Business-Finance-Law
4055,The Culture Map,Erin Meyer,4.5,9781610392761,Business-Finance-Law
4056,Tribes,Seth Godin,4.0,9780749939755,Business-Finance-Law
4057,The Little Book of Lykke,Meik Wiking,4.0,9780241302019,Business-Finance-Law
4058,The 10X Rule,Grant Cardone,4.0,9780470627600,Business-Finance-Law
4059,Never Split the Difference,Chris Voss,4.5,9780062872302,Business-Finance-Law
4060,Made to Stick,Chip Heath,4.0,9780812982008,Business-Finance-Law
4061,Getting Things Done,David Allen,4.0,9780349408941,Business-Finance-Law
4062,The 5 Second Rule,Mel Robbins,4.0,9781682612385,Business-Finance-Law
4063,"Blue Ocean Strategy, Expanded Edition",W.Chan Kim,4.5,9781625274496,Business-Finance-Law
4064,Building A Story Brand,Donald Miller,4.5,9781400201839,Business-Finance-Law
4065,The Rule of Law,Tom Bingham,4.0,9780141034539,Business-Finance-Law
4066,Business Adventures,John Brooks,4.0,9781473611528,Business-Finance-Law
4067,The Art of War,Sun Tzu,4.0,9780857080097,Business-Finance-Law
4068,Switch,Chip Heath,4.0,9781847940322,Business-Finance-Law
4069,Why Nations Fail,Daron Acemoglu,4.0,9781846684302,Business-Finance-Law
4070,Give and Take,Adam Grant,4.0,9781780224725,Business-Finance-Law
4071,The Big Short,Michael Lewis,4.5,9780393338829,Business-Finance-Law
4072,Managing Oneself,Peter F. Drucker,4.0,9781422123126,Business-Finance-Law
4073,The Go-Giver,Bob Burg,4.5,9780241976272,Business-Finance-Law
4074,The Shock Doctrine,Naomi Klein,4.0,9780141024530,Business-Finance-Law
4075,Measure What Matters,John Doerr,4.0,9780241348482,Business-Finance-Law
4076,Invisible Women,Caroline Criado Perez,4.5,9781784741723,Business-Finance-Law
4077,The New One Minute Manager,Kenneth Blanchard,4.0,9780008128043,Business-Finance-Law
4078,Wealth of Nations,Adam Smith,4.0,9781840226881,Business-Finance-Law
4079,"Security Analysis: Sixth Edition, Foreword by Warren Buffett",Benjamin Graham,4.5,9780071592536,Business-Finance-Law
4080,The Wolf of Wall Street,Jordan Belfort,3.5,9780340953754,Business-Finance-Law
4081,The 4-hour Workweek,Timothy Ferriss,4.0,9780307465351,Business-Finance-Law
4082,21 Irrefutable Laws of Leadership,John C. Maxwell,4.0,9780785289357,Business-Finance-Law
4083,Let My People Go Surfing,Yvon Chouinard,4.0,9780143109679,Business-Finance-Law
4084,"Creativity, Inc.",Ed Catmull,4.0,9780593070109,Business-Finance-Law
4085,The Effective Executive,Peter F Drucker,4.0,9780060833459,Business-Finance-Law
4086,Daring Greatly,PhD Lmsw Brene Brown,4.5,9781592408412,Business-Finance-Law
4087,Delivering Happiness,Tony Hsieh,4.0,9781455508907,Business-Finance-Law
4088,"Jab, Jab, Jab, Right Hook",Gary Vaynerchuk,4.0,9780062273062,Business-Finance-Law
4089,Turn The Ship Around!,L. David Marquet,4.0,9780241250945,Business-Finance-Law
4090,The Tipping Point,Malcolm Gladwell,4.0,9780349113463,Business-Finance-Law
4091,Manufacturing Consent,Noam Chomsky,4.0,9780099533115,Business-Finance-Law
4092,The Decision Book,Mikael Krogerus,3.5,9781846683954,Business-Finance-Law
4093,Black Box Thinking,Matthew Syed,4.5,9781473613805,Business-Finance-Law
4094,Freakonomics,Steven D. Levitt,4.0,9780141019017,Business-Finance-Law
4095,Way of the Wolf,Jordan Belfort,4.0,9781473674813,Business-Finance-Law
4096,Misbehaving,Richard H. Thaler,4.0,9780241951224,Business-Finance-Law
4097,Doughnut Economics,Kate Raworth,4.0,9781847941398,Business-Finance-Law
4098,Superfreakonomics,Stephen J. Dubner,4.0,9780141030708,Business-Finance-Law
4099,Eggshell Skull,Bri Lee,4.5,9781760295776,Business-Finance-Law
4100,Range,David Epstein,4.0,9781509843503,Business-Finance-Law
4101,So Good They Can't Ignore You,Cal Newport,4.0,9780349415864,Business-Finance-Law
4102,Talking to Strangers,Malcolm Gladwell,3.5,9780241351574,Business-Finance-Law
4103,The Road to Serfdom,F. a. Hayek,4.0,9780226320557,Business-Finance-Law
4104,Weapons of Math Destruction,Cathy O'neil,4.0,9780141985411,Business-Finance-Law
4105,Thinking in Systems,Donella Meadows,4.5,9781603580557,Business-Finance-Law
4106,A guide to the Project Management Body of Knowledge (PMBOK guide),Project Management Institute,3.5,9781935589679,Business-Finance-Law
4107,Talk Like TED,Carmine Gallo,4.0,9781447261131,Business-Finance-Law
4108,Storytelling with Data,Cole Nussbaumer Knaflic,4.5,9781119002253,Business-Finance-Law
4109,Digital Minimalism,Cal Newport,4.0,9780241341131,Business-Finance-Law
4110,The Total Money Makeover: Classic Edition,Dave Ramsey,4.5,9781595555274,Business-Finance-Law
4111,High Output Management,Andrew Grove,4.5,9780679762881,Business-Finance-Law
4112,The Secret Barrister,The Secret Barrister,4.0,9781509841141,Business-Finance-Law
4113,Mastering The Market Cycle,Howard Marks,4.0,9781473680371,Business-Finance-Law
4114,Pre-Suasion,Robert B. Cialdini,4.0,9781847941435,Business-Finance-Law
4115,Fierce Conversations,Susan Scott,4.0,9780425193372,Business-Finance-Law
4116,The Diary of a Bookseller,Shaun Bythell,4.0,9781781258637,Business-Finance-Law
4117,The Undoing Project,Michael Lewis,4.0,9780141983042,Business-Finance-Law
4118,How Brands Grow,Byron Sharp,4.0,9780195573565,Business-Finance-Law
4119,East West Street,Philippe Sands,4.5,9781474601917,Business-Finance-Law
4120,"The Seven Habits of Highly Effective People, Miniature Edition",Stephen R. Covey,4.0,9780762408337,Business-Finance-Law
4121,The Art of Possibility,Benjamin Zander,4.0,9780142001103,Business-Finance-Law
4122,The Little Book That Still Beats the Market,Joel Greenblatt,4.0,9780470624159,Business-Finance-Law
4123,The High Performance Planner,Brendon Burchard,4.0,9781401957230,Business-Finance-Law
4124,Find Your Why,Simon Sinek,3.5,9780143111726,Business-Finance-Law
4125,Creative Confidence,David Kelley,4.0,9780008139384,Business-Finance-Law
4126,Half the Sky,Nicholas D Kristof,4.5,9780307387097,Business-Finance-Law
4127,A Random Walk Down Wall Street,Burton G. Malkiel,4.0,9780393352245,Business-Finance-Law
4128,Grace,Grace Coddington,4.0,9780812993356,Business-Finance-Law
4129,Moneyball,Michael Lewis,4.5,9780393324815,Business-Finance-Law
4130,The Undercover Economist,Tim Harford,4.0,9780349119854,Business-Finance-Law
4131,Capital: Volume One and Two,Karl Marx,4.0,9781840226997,Business-Finance-Law
4132,Emotional Agility,Susan David,4.0,9780241976586,Business-Finance-Law
4133,The Startup Owner's Manual,Steve Blank,4.0,9780984999309,Business-Finance-Law
4134,The Chimp Paradox,Steve Peters,4.0,9780399163593,Business-Finance-Law
4135,The Challenger Sale,Matthew Dixon,4.0,9780670922857,Business-Finance-Law
4136,Crush It!,Gary Vaynerchuk,4.0,9780062295026,Business-Finance-Law
4137,Sweet Poison,David Gillespie,4.0,9780718179076,Business-Finance-Law
4138,Economics: The User's Guide,Ha-Joon Chang,4.0,9780718197032,Business-Finance-Law
4139,Scrum,Jeff Sutherland,4.0,9781847941107,Business-Finance-Law
4140,Kate,Kate Moss,4.5,9780847837908,Business-Finance-Law
4141,What the Dog Saw,Malcolm Gladwell,4.0,9780316084659,Business-Finance-Law
4142,"Leading Change, With a New Preface by the Author",John P. Kotter,4.0,9781422186435,Business-Finance-Law
4143,Society of the Spectacle,Guy Debord,4.0,9780934868075,Business-Finance-Law
4144,The Charisma Myth,Olivia Fox Cabane,4.0,9780670922871,Business-Finance-Law
4145,Profit First,Mike Michalowicz,4.5,9780735214149,Business-Finance-Law
4146,The Secret Barrister,The Secret Barrister,4.0,9781509841103,Business-Finance-Law
4147,Trump: The Art of the Deal,Donald Trump,3.5,9781784758240,Business-Finance-Law
4148,Economics In One Lesson,Henry Hazlitt,4.0,9780517548233,Business-Finance-Law
4149,Blink,Malcolm Gladwell,4.0,9780141014593,Business-Finance-Law
4150,Quiet Leadership,David Rock,4.0,9780060835910,Business-Finance-Law
4151,Outliers,Malcolm Gladwell,4.0,9780316017930,Business-Finance-Law
4152,The Snowball,Alice Schroeder,4.0,9780747596493,Business-Finance-Law
4153,Hitch 22,Christopher Hitchens,4.0,9781843549222,Business-Finance-Law
4154,Atomic Habits,James Clear,4.5,9780735211292,Business-Finance-Law
4155,The Lean Startup,Eric Ries,4.0,9780307887894,Business-Finance-Law
4156,Daring Greatly,Brene Brown,4.5,9781592407330,Business-Finance-Law
4157,The Millionaire Fastlane,MJ DeMarco,4.5,9780984358106,Business-Finance-Law
4158,The Dip,Seth Godin,4.0,9780749928308,Business-Finance-Law
